Чему равен один пуд?|1280 лотам|1270 лотам|1260 лотам|1290 лотам
Какая семья правила Миланом с 1277 до 1447 г.?|Висконти|Мазарини|Медичи|Сфорца
В какой стране находится город, к которому восходит этимология слова "доллар"?|Чехия|Великобритания|Испания|Германия
Укажите годы жизни Д.И. Менделеева?|1834-1907|1859-1906|1711-1765|1857-1935
Что такое Плеяды?|Рассеянное скопление|Созвездие|Метагалактика|Звездная ассоциация
Чему равна 1 английская пинта?|0.568 л|0.142 л|1.136 л|4.546 л
Что означает название знаменитой московской улицы Арбат?|Пригородная|Центральная|Проезжая|Западная
Укажите годы жизни Фридриха Энгельса?|1820-1895|1818-1883|1896-1974|1870-1924
Рояли какой фирмы после советской национализации назывались "Красный Октябрь"?|"Беккер"|"Бехштейн"|"Блютнер"|"Стейнвей"
К берегам какой современной страны подошел Колумб, когда открыл Америку?|Венесуэла|Колумбия|Бразилия|Гайана
Отзвук произведения какого автора использовал Пушкин в первой строке "Евгения Онегина"?|Крылов|Державин|Барков|Лафонтен
Кто из этих философов неожиданно для себя, cтал поданным Российской империи?|Кант|Декарт|Гегель|Шеллинг
Кто, по русским летописям, заселил европейскую часть нынешней России после потопа?|Иафет|Хам|Сим|Ной
Это женское имя является символом Франции:|Марианна|Лилия|Жанна|Жизель
Это отчество наиболее часто встречается у русских императриц:|Федоровна|Алексеевна|Петровна|Иоановна
Хакеры считают: Сколько WINDOWS не ломай, все равно ... новый придумает.|Гейтс|Ученый|Буржуй|Фанат
Эта женщина отзывалась на кличку "Абсолют":|Елена СТАСОВА|Надежда КРУПСКАЯ|Инесса АРМАНД|Эльза ТРИОЛЕ
Только из-за этого продукта русские не устраивали еще бунта:|Водка|Соль|Табак|Картошка
Филантропины - так в 18 веке в Германии называли...|Спортивные школы|Столовые для бомжей|Больницы для бедных|Приюты для бездомных
Слово "Зитотехника" у древних греков означало:|Пивоварение|Разговор с гетерой|Метание диска|Изготовление скульптур
Такая фамилия была у Монны Лизы:|Джоконда|Саския|Мадонна|Монна
Самой "толстой" газетой в мире считается:|"Нью-Йорк Таймс"|"Жэньминь-Жибао"|"Комсомолка"|"Вуду Трибьюн"
Сергей Ястржембский, пресс-секретарь Президента, затем сподвижник Лужкова еще ранее редактировал журнал:|"Очень важная персона"|"Цветоводство"|"Коммунист"|"СПИД-инфо"
Речи Н. Бухарина в Политбюро ЦК ВКПeбk за глаза называли:|Медовыми|Бухальными|Хреновыми|Сальными
Рыба, которая называется так же, как южноамериканское государство, - это...|Аргентина|Боливия|Суринам|Чили
Под этим именем мы знаем Норму Джинн Беккер:|Мерилин МОНРО|Джинна ЛОЛОБРИДЖИДА|Бриджитт БАРДО|Софи ЛОРЕН
Представителем какой династии был король Франции Людовик Святой?|Капетингов|Валуа|Меровингов|Бурбонов
По мнению капитана Врунгеля, в Голландии "только и есть три замечательные вещи". Исключите лишнюю голландскую вещь:|Тюльпаны|Селедки|Сажа|Сыр
Под названием FYROM на Олимпиаде в Атланте США выступала сборная:|Македонии|Пуэрто-Рико|Бывшего СССР|Афаров и Исса
Она стала самым молодым академиком Российской Академии художеств:|Мария КОЛЛО|Татьяна ЯБЛОНСКАЯ|Ирина СУРИКОВА|Марина ХЛЕБНИКОВА
Откуда взята знаменитая фраза "Целомудренна та, которой никто не пожелал"?|Овидий "Любовные элегии"|Гомер "Илиада"|Теккерей "Ярмарка тщеславия"|Байрон "Дон Жуан"
Одним из новейших экзотических азартных увлечений японцев является:|Гонки кальмаров|Параплан|Охота на акул|Уход за тамагочи
Оказывается, камеры корабельного морского компаса заполняются жидкостью - водным раствором этилового спирта крепостью:|43 градуса|Не ниже 90 градусов|70 градусов|40 градусов
Название города Ливерпуль буквально переводится с английского как...|Мутная заводь|Живая изгородь|Город ливреев|Пирожок с ливером
Один из ходовых огней судна с механическим двигателем - гакабортный находится на:|Корме|Носу|Правом борту|Камбузе
Музыкальный инструмент, изображенный на Государственном гербе Гаити, называется...|Барабан|Труба|Фанфары|Литавры
На свадьбе императрицы Анны Иоановны подали пирог, начиненный:|Живым человеком|Грибами|Икрой красной|Стерлядками
Мороженое, продаваемое в вафельных рожках в городе Лексингтон штата Кентукки США запрещается:|Класть в карман|Лизать при всех|Есть снизу|Подогревать на плите
Морской двухбуквенный сигнал IN по международному своду сигналов имеет значение:|Требуется водолаз|Где я?|Нужен врач|Команде нужны девушки
Лозунг "Разделяй и властвуй!" придумал:|Макиавелли|Кардинал Ришелье|Калигула|Юлий Цезарь
Метопоскопия - это ...|Физиогномика|Астрология|Хиромантия|Дефектоскопия
Кто сказал: "Я сам знаю, что эта задача не имеет решения. Я хочу знать, как ее решать"?|Кристобаль Хунта|Маргарет Тэтчер|Бернард Шоу|Наполеон
Кто составил первую карту Европы и мира?|Меркатор|Гарвей|Аристофан|Гидрометцентр
Кто первый высказал идею существования абсолютного нуля температур?|Г.Амонтон|Джеймс Дьюар|Лорд Кельвин|Уильям Томпсон
Кто первый открыл существование односторонних поверхностей?|Август Мебиус|Карл Мебиус|Софья Ковалевская|Ник. Лобачевский
Кто первый ввел положительные иррациональные числа?|Омар Хайям|Цай Лунь|Галилео Галилей|Герман Кольбе
Кто первый высказал гипотезу о том, что Земля имеет раскаленное ядро?|Рене ДЕКАРТ|Инженер ГАРИН|Дж.ГИЛБЕРТ|Блез ПАСКАЛЬ
Кто из миротворцев был причислен к лику святых в год своей смерти?|Мать ТЕРЕЗА|Академик САХАРОВ|Ванга|Савелий КРАМАРОВ
Кто написал музыку к кинофильму "О, счастливчик"?|Алан Прайс|Роджер Гловер|Энио Мориконе|Мишель Легран
Кому принадлежит фраза: "Политика - это умение отмываться дочиста грязной водой"?|Братьям Стругацким|Петру Столыпину|Рональду Рейгану|Уинстону Черчиллю
Кто автор романа "Одиссей покидает Итаку"?|Василий Звягинцев|Сомерсет Моэм|Артур Конан-Дойл|Александр Беляев
Кому принадлежат слова "скорбная обитель"?|Данте|Шекспиру|Стендалю|Бальзаку
Кому принадлежит восклицание "Тесен мир!"?|Христофору Колумбу|Виссариону Белинскому|Атилле-Завоевателю|Вильгельму-Завоевателю
Кого в старину на Руси называли "Белым человеком"?|Домового|Старосту|Лешего|Снеговика
Кому принадлежат слова "Пока дышу, надеюсь"?|Овидию|Вергилию|Петрарке|Шекспиру
Клоунское амплуа в западноевропейском цирке, которому в русском цирке соответствует "рыжий", - это ...|Август|Март|Май|Июль
